# generated_at: 2025-12-11T23:29:05-03:00
# user: drinxar
# host: Drinxar

command	nproc	cpu_avg	cpu_max	mem_avg	mem_max
card1-crtc1	5	0.0	0.0	0.0	0.0
idle_inject/2	5	0.0	0.0	0.0	0.0
rcu_tasks_rude_	5	0.0	0.0	0.0	0.0
code	75	1.2	8.5	1.5	4.5
gsd-print-notif	5	0.0	0.0	0.0	0.0
kworker/10:2-ev	5	0.0	0.0	0.0	0.0
colord	5	0.0	0.0	0.1	0.1
ksoftirqd/10	5	0.0	0.0	0.0	0.0
polkitd	5	0.0	0.0	0.0	0.0
migration/0	5	0.0	0.0	0.0	0.0
kworker/u48:6-s	5	0.1	0.1	0.0	0.0
transform.sh	5	8.4	10.6	0.0	0.0
preprocess.sh	5	13.0	16.5	0.0	0.0
kworker/9:1	5	0.0	0.0	0.0	0.0
scsi_eh_5	5	0.0	0.0	0.0	0.0
cpuhp/5	5	0.0	0.0	0.0	0.0
spotify	45	0.4	2.8	1.1	2.6
gsd-wacom	5	0.0	0.0	0.1	0.1
cpptools-srv	15	0.0	0.0	0.1	0.1
kworker/u48:1-g	1	0.0	0.0	0.0	0.0
kworker/9:0H-ev	5	0.0	0.0	0.0	0.0
rcu_tasks_trace	5	0.0	0.0	0.0	0.0
at-spi2-registr	5	0.0	0.0	0.0	0.0
kworker/6:1H-kb	5	0.0	0.0	0.0	0.0
tracker-miner-f	5	0.0	0.0	0.2	0.2
psimon	10	0.0	0.0	0.0	0.0
wpa_supplicant	5	0.0	0.0	0.0	0.0
kworker/9:1H-kb	5	0.0	0.0	0.0	0.0
ksoftirqd/8	5	0.0	0.0	0.0	0.0
upowerd	5	0.0	0.0	0.0	0.0
WebExtensions	5	4.2	4.2	2.5	2.5
kworker/0:0-mm_	1	0.0	0.0	0.0	0.0
kworker/R-edac-	5	0.0	0.0	0.0	0.0
kworker/R-mm_pe	5	0.0	0.0	0.0	0.0
gsd-sharing	5	0.0	0.0	0.0	0.0
kworker/u49:8-t	5	0.0	0.0	0.0	0.0
nautilus	5	0.2	0.2	1.2	1.2
kworker/0:0H-ev	5	0.0	0.0	0.0	0.0
Socket Process	5	0.0	0.0	0.2	0.2
kworker/11:2-ev	4	0.0	0.0	0.0	0.0
ksoftirqd/6	5	0.0	0.0	0.0	0.0
systemd-resolve	5	0.0	0.0	0.0	0.0
kworker/4:2-mm_	1	0.0	0.0	0.0	0.0
kworker/4:0-eve	5	0.0	0.0	0.0	0.0
kworker/1:0	5	0.0	0.0	0.0	0.0
udisksd	5	0.0	0.0	0.1	0.1
firefox	5	8.5	8.5	5.1	5.1
kworker/R-vcn_e	10	0.0	0.0	0.0	0.0
idle_inject/7	5	0.0	0.0	0.0	0.0
migration/5	5	0.0	0.0	0.0	0.0
snapd	5	0.0	0.0	0.3	0.3
pipewire	10	0.1	0.1	0.1	0.1
scsi_eh_6	5	0.0	0.0	0.0	0.0
kworker/R-tpm_d	5	0.0	0.0	0.0	0.0
cpuhp/6	5	0.0	0.0	0.0	0.0
kworker/3:0H-ev	5	0.0	0.0	0.0	0.0
systemd-timesyn	5	0.0	0.0	0.0	0.0
kdevtmpfs	5	0.0	0.0	0.0	0.0
gsd-screensaver	5	0.0	0.0	0.0	0.0
gsd-power	5	0.0	0.0	0.1	0.1
kworker/3:2-eve	5	0.0	0.0	0.0	0.0
ibus-daemon	5	0.1	0.1	0.0	0.0
kworker/R-ipv6_	5	0.0	0.0	0.0	0.0
kthreadd	5	0.0	0.0	0.0	0.0
dbus-daemon	15	0.0	0.0	0.0	0.0
irq/27-AMD-Vi0-	5	0.0	0.0	0.0	0.0
gsd-media-keys	5	0.0	0.0	0.1	0.1
